Pais,sedes,secciones_promedio,Pbi_per_Capita_2022_U$S
REPÚBLICA  FEDERATIVA  DEL  BRASIL,11,1.6,8917.67491057495
Estados  Unidos  de  América,9,3.3,76329.5822652029
REPÚBLICA  ORIENTAL  DEL  URUGUAY,8,0.5,20795.0423535553
ESTADO  PLURINACIONAL  DE  BOLIVIA,7,2.1,3600.12163486427
REINO  DE  ESPAÑA,7,2.3,29674.5442864413
REPÚBLICA  DE  CHILE,7,2.0,15355.4797401048
REPÚBLICA  POPULAR  DE  CHINA,6,2.8,12720.2163182363
CANADÁ,4,1.8,54917.6625226262
REPÚBLICA  DEL  PARAGUAY,4,0.0,6153.05565720044
REPÚBLICA  FEDERAL  DE  ALEMANIA,4,3.5,48717.9911402128
REPÚBLICA  ITALIANA,4,3.3,34776.423234274
ESTADOS  UNIDOS  MEXICANOS,3,3.3,11496.5228716049
AUSTRALIA,2,4.0,65099.8459118981
Confederación  Suiza,2,2.5,93259.9057183024
ESTADO  DE  ISRAEL,2,2.5,54930.9388075096
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,2,5.0,46125.2557513568
REPÚBLICA  DE  LA  INDIA,2,3.5,2410.88802070689
REPÚBLICA  DE  SUDÁFRICA,2,2.0,6766.48125429478
REPÚBLICA  DEL  ECUADOR,2,5.0,6391.28248430643
REPÚBLICA  DEL  PERÚ,2,3.5,7125.82993135746
REPÚBLICA  FRANCESA,2,4.5,40886.2532680273
Reino  de  Bélgica,2,5.5,49926.8254295305
República  de  Türkiye,2,2.0,10674.5041731531
BARBADOS,1,7.0,20238.7842420154
EMIRATOS  ÁRABES  UNIDOS,1,3.0,53707.9800809111
ESTADO  DE  KUWAIT,1,5.0,41079.5226998138
ESTADO  DE  LIBIA,1,2.0,6716.09598462328
ESTADO  DE  PALESTINA,1,0.0,3789.32796575153
ESTADO  DE  QATAR,1,5.0,87661.4501457275
FEDERACIÓN  DE  RUSIA,1,13.0,15270.7060546875
HUNGRÍA,1,5.0,18390.1849993244
IRLANDA,1,4.0,103983.29133582
JAMAICA,1,3.0,6047.2164567796
MALASIA,1,3.0,11993.1876132994
NUEVA  ZELANDIA,1,3.0,48418.5916631992
REINO  DE  ARABIA  SAUDITA,1,0.0,30447.8837074473
REINO  DE  DINAMARCA,1,4.0,67790.0539923276
REINO  DE  LOS  PAÍSES  BAJOS,1,4.0,57025.01245598
REINO  DE  MARRUECOS,1,5.0,3441.99145507813
REINO  DE  NORUEGA,1,3.0,106177.197179078
REINO  DE  SUECIA,1,4.0,56373.7885792007
REINO  DE  TAILANDIA,1,6.0,6909.9562847948
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,1,6.0,4342.63796796522
REPÚBLICA  ARGENTINA,1,0.0,13650.6046294524
REPÚBLICA  CHECA,1,5.0,27223.0451937676
REPÚBLICA  COOPERATIVA  DE  GUYANA,1,0.0,18199.4748396968
REPÚBLICA  DE  ANGOLA,1,6.0,3000.44423053173
REPÚBLICA  DE  ARMENIA,1,3.0,7018.05150434798
REPÚBLICA  DE  AUSTRIA,1,11.0,52084.6811953372
REPÚBLICA  DE  AZERBAIYÁN,1,5.0,7762.0738285884
REPÚBLICA  DE  BULGARIA,1,0.0,13974.4492487792
REPÚBLICA  DE  COLOMBIA,1,7.0,6624.16539269075
REPÚBLICA  DE  COREA,1,5.0,32422.5744864287
REPÚBLICA  DE  COSTA  RICA,1,2.0,13365.3563992692
REPÚBLICA  DE  CUBA,1,5.0,56495.8534866201
REPÚBLICA  DE  EL  SALVADOR,1,5.0,5127.32166823012
REPÚBLICA  DE  FILIPINAS,1,4.0,3498.5098055874
REPÚBLICA  DE  FINLANDIA,1,2.0,50916.2804653208
REPÚBLICA  DE  GUATEMALA,1,3.0,5473.20856444589
REPÚBLICA  DE  HAITÍ,1,7.0,1748.25713229469
REPÚBLICA  DE  HONDURAS,1,4.0,3040.17304596842
REPÚBLICA  DE  INDONESIA,1,5.0,4787.99930771921
REPÚBLICA  DE  KENYA,1,6.0,2099.30193826696
REPÚBLICA  DE  MOZAMBIQUE,1,8.0,558.298606448221
REPÚBLICA  DE  NICARAGUA,1,1.0,2255.42599496242
REPÚBLICA  DE  PANAMÁ,1,4.0,17357.628633794
REPÚBLICA  DE  POLONIA,1,3.0,18688.0044867103
REPÚBLICA  DE  SENEGAL,1,0.0,1598.72643336012
REPÚBLICA  DE  SERBIA,1,4.0,9537.68286673128
REPÚBLICA  DE  SINGAPUR,1,4.0,82807.6290622897
REPÚBLICA  DE  SURINAME,1,6.0,5858.82466074423
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,1,1.0,19629.4653400829
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,1,4.0,1027.58591095964
REPÚBLICA  DOMINICANA,1,3.0,10111.2457110261
