Pais,nro_redes
AUSTRALIA,2
BARBADOS,1
CANADÁ,5
Confederación  Suiza,4
EMIRATOS  ÁRABES  UNIDOS,1
ESTADO  DE  ISRAEL,2
ESTADO  DE  KUWAIT,1
ESTADO  DE  PALESTINA,1
ESTADO  PLURINACIONAL  DE  BOLIVIA,1
ESTADOS  UNIDOS  MEXICANOS,4
Estados  Unidos  de  América,6
FEDERACIÓN  DE  RUSIA,2
HUNGRÍA,1
IRLANDA,2
JAMAICA,2
MALASIA,1
REINO  DE  ARABIA  SAUDITA,3
REINO  DE  DINAMARCA,1
REINO  DE  ESPAÑA,4
REINO  DE  LOS  PAÍSES  BAJOS,2
REINO  DE  MARRUECOS,2
REINO  DE  NORUEGA,2
REINO  DE  SUECIA,3
REINO  DE  TAILANDIA,1
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,5
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,3
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,3
REPÚBLICA  CHECA,2
REPÚBLICA  DE  ANGOLA,2
REPÚBLICA  DE  ARMENIA,3
REPÚBLICA  DE  AUSTRIA,3
REPÚBLICA  DE  AZERBAIYÁN,3
REPÚBLICA  DE  BULGARIA,2
REPÚBLICA  DE  CHILE,3
REPÚBLICA  DE  COLOMBIA,1
REPÚBLICA  DE  COREA,2
REPÚBLICA  DE  COSTA  RICA,1
REPÚBLICA  DE  CUBA,1
REPÚBLICA  DE  EL  SALVADOR,3
REPÚBLICA  DE  FILIPINAS,3
REPÚBLICA  DE  FINLANDIA,2
REPÚBLICA  DE  KENYA,2
REPÚBLICA  DE  LA  INDIA,3
REPÚBLICA  DE  MOZAMBIQUE,1
REPÚBLICA  DE  POLONIA,1
REPÚBLICA  DE  SERBIA,2
REPÚBLICA  DE  SINGAPUR,2
REPÚBLICA  DE  SUDÁFRICA,3
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,1
REPÚBLICA  DEL  ECUADOR,3
REPÚBLICA  DEL  PARAGUAY,3
REPÚBLICA  DEL  PERÚ,2
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,2
REPÚBLICA  DOMINICANA,1
REPÚBLICA  FEDERAL  DE  ALEMANIA,2
REPÚBLICA  FEDERAL  DE  NIGERIA,2
REPÚBLICA  FEDERATIVA  DEL  BRASIL,3
REPÚBLICA  FRANCESA,2
REPÚBLICA  HELÉNICA,2
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1
REPÚBLICA  ITALIANA,4
REPÚBLICA  LIBANESA,1
REPÚBLICA  ORIENTAL  DEL  URUGUAY,3
REPÚBLICA  SOCIALISTA  DE  VIETNAM,2
REPÚBLICA  TUNECINA,4
REPÚBLICA  ÁRABE  DE  EGIPTO,3
REPÚBLICA  ÁRABE  SIRIA,1
RUMANIA,2
Reino  de  Bélgica,6
SANTA  SEDE,4
UCRANIA,2
日本国  (JAPÓN),1
