id_sede,nom_seccion
ECHES,Administración
ERUNI,Administración
EHAIT,Administración
EKENY,Administración
CNYOR,Administración
EECUA,Administración  y  Logística
EJAPO,Administrativa
ESALV,Administrativa  -  Contable
EGUAT,Agregada  Administrativa
EPNMA,Agregada  Administrativa
ETURQ,Agregada  para  Asuntos  Administrativos
EPORT,Agregado  Administrativo
EISIA,Agregado  Administrativo
ETAIL,Agregado  Administrativo
CGUAY,AGREGADO  CONSULAR
EBRAS,Agregado  Militar  y  de  Defensa
EBRAS,Agregado  Naval
EBOLV,Agregaduría  Aeronáutica
EEEUU,Agregaduria  Aeronautica
EHILE,Agregaduria  Aeronáutica
EFRUS,Agregaduría  Agrícola
ECHIN,Agregaduría  Agrícola
ESURI,Agregaduria  de  Defensa
EPERU,Agregaduria  de  Defensa  y  Aeronáutica
EHILE,Agregaduría  de  Defensa  y  Aeronáutica
EBOLV,Agregaduría  de  Defensa  y  Militar
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea"
EHILE,Agregaduría  de  Gendarmería  Nacional
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)
EBOLV,Agregaduría  de  Prefectura  Naval
EECUA,Agregaduria  Militar
EEEUU,Agregaduria  Militar
EEGIP,Agregaduría  Militar
EHILE,Agregaduria  Militar
EEEUU,Agregaduria  Naval
EHILE,Agregaduría  Naval
EFILI,Ana  Clara  Pianezza  
EFILI,Andrea  Silvina  Repetti
CNYOR,Asistencia  a  Argentinos  en  el  Exterior
CHONG,Asuntos  Consulares
ETUNE,Asuntos  Culturales  
ENIGE,Asuntos  Culturales  y  Prensa
EFRUS,Asuntos  Estratégicos
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)"
ETRIA,Asuntos  ONUAEE
ETRIA,Asuntos  ONUDD
ETRIA,Asuntos  ONUDI
ECEUR,Cancillería
CNYOR,Comunidad  argentina  y  diplomacia  pública
ECEUR,Consejería  Agrícola
EEEUU,Consejería  Agrícola
EBRAS,Consejería  Agrícola
CPCAR,Cónsul  Adjunto
CMIAM,Cónsul  General  Adjunto
EKENY,Consular  
CGUAY,CONSULAR
EBOLV,Contabilidad  y  Administración.
EJAPO,Cooperación
EHAIT,Cooperación  Internacional
ETUNE,Cooperación  Internacional
EKENY,Cultural
ESALV,Cultural
EKENY,Económica  -  Comercial
ERUNI,Económica  y  Comercial
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  
ESSED,Embajadora
ESSED,Jefa  de  Cancillería
EALEM,Jefa  de  Cancillería
ESSED,Jefa  de  Sección  Secretaría  y  Despacho
ESUIZ,Jefe  de  Cancillería
ECANA,Jefe  de  Cancillería
EBELG,Jefe  de  Cancillería
ETUNE,Jefe  de  Cancillería
EINDI,Jefe  de  Cancilleria
EFRAN,Jefe  de  Cancillería
EQATR,Jefe  de  Cancillería
EFRUS,Jefe  de  Cancillería
EEEUU,Jefe  de  Cancillería
EPORT,JEFE  DE  CANCILLERIA
ETAIL,Jefe  de  Cancillería
EUNGR,Jefe  de  Cancillería
EMOZA,Jefe  de  Cancillería
ECHIN,Jefe  de  Cancilleria
ENIGE,Jefe  de  Cancillería
EURUG,Jefe  de  Cancillería
EPNMA,Jefe  de  Cancillería
EITAL,Jefe  de  Cancillería
ECOLO,Jefe  de  Cancillería
EHILE,Jefe  de  Cancillería
EBRAS,Jefe  de  Cancillería
EPERU,Jefe  de  Cancillería
EBARB,Jefe  de  Cancillería
EMEXI,Jefe  de  Misión
EESPA,Jefe  de  Misión  Adjunto
EPORT,JEFE  DE  SECCIÓN  CONSULAR
EPORT,JEFE  DE  SECCIÓN  CULTURAL
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL
EFILI,Josefina  Marcela  Gallo  Morando
EFILI,Mauricio  Germán  Muñoz
EBOLV,Misión  Naval  Argentina
EBOLV,"Mujeres, Género, Diversidad  y  Medio  Ambiente"
EMEXI,Negociaciones  Económicas  Bilaterales
DITIC,nueva
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad"
EFRAN,Oficina  Turismo
EJAPO,Política
EKENY,Política  y  Cooperación    
ESALV,Prensa
EEEUU,Prensa
ETUNE,Prensa
CNYOR,Promoción  Cultural
ERUNI,Protocolo
EPBAJ,Rep.  Permanente  OPAQ
EESPA,Representante  Ministerio  de  Desarrollo  Productivo
EHILE,Residencia  Oficial
ETRIN,Sección
EALEM,Sección  Administración
EDOMI,Sección  Administración
CMIAM,Sección  Administración
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario"
EBARB,Sección  Administrativa
EKUWA,Sección  Administrativa
ECANA,Sección  Administrativa
ESING,Sección  Administrativa
EMARR,Sección  Administrativa
CGTEL,Sección  Administrativa
CBARC,Sección  Administrativa
EFRAN,Sección  Administrativa
EITAL,Sección  Administrativa
CSCRS,Sección  Administrativa
ECHIN,Sección  Administrativa
EEGIP,Sección  Administrativa
CFRAN,Sección  Administrativa
EVENE,Sección  Administrativa
EDINA,Sección  Administrativa
EUNGR,Sección  Administrativa
EARME,Sección  Administrativa
EANGO,Sección  Administrativa
ESAFR,Sección  Administrativa
EHOND,Sección  administrativa
EPERU,Sección  Administrativa
EAUST,Sección  Administrativa
EARGE,Sección  Administrativa
ECUBA,Sección  Administrativa
EGREC,Sección  Administrativa
CSIDN,Sección  Administrativa
EQATR,Seccion  Administrativa
ECOLO,Sección  Administrativa
EHILE,Sección  Administrativa
ENIGE,Sección  Administrativa
ESURI,Sección  Administrativa
ECEUR,Sección  Administrativa
ESERB,Sección  Administrativa
CMILA,Sección  Administrativa  -  Titular:  
ELBNO,Sección  Administrativa  Contable
CRECI,Sección  Administrativa  y  Contable
EFRUS,Sección  Administrativa  y  Logística
EEEUU,Sección  Administrativa  y  Recursos  Humanos
EESPA,Sección  Administrativa  y  Recursos  Humanos
EMEXI,Sección  Administrativa  y  Recursos  Humanos  
EINDI,Sección  Agrícola
ETRIA,Sección  Bilateral
EAUST,Sección  Ciencia  y  Tecnología
EMEXI,Sección  Comercial
EEGIP,Sección  Comercial
EDINA,Sección  Comercial
EURUG,Sección  Comercial
EQATR,Sección  Comercial
CURUG,Sección  Comercial
EPOLO,Sección  Comercial
EHOND,Sección  Comercial
ETRIA,Sección  Comercial
ESALV,Sección  Comercial  e  Inversiones
CMIAM,Sección  Comercial  e  Inversiones
CSIDN,Sección  Comercial  y  Cultural
EFINL,Sección  Comercial  y  de  Inversiones
CBARC,"Sección  Comercial, Turismo  e  Inversiones"
EAUST,Sección  Comercio  e  Inversiones
EFRUS,Sección  Concurrencias
EBARB,Sección  Consular
CGMUM,Sección  Consular
CRIOJ,Sección  Consular
ESING,Sección  Consular
EETIO,Sección  Consular
EALEM,Sección  Consular
CGTEL,Sección  Consular
ENORU,Sección  Consular
EBRAS,Sección  Consular
ECORE,Sección  Consular
EFRUS,Sección  Consular
EARGE,Sección  Consular
ECOLO,Sección  Consular
EJAMA,Sección  Consular  
EECUA,Sección  Consular
EVIET,Sección  Consular
EARME,Sección  Consular
EDOMI,Sección  Consular
ENZEL,Sección  Consular
EKUWA,Sección  Consular
ERUMA,Sección  Consular
EASIR,Sección  Consular
ETUNE,Sección  Consular
EEEUU,Sección  Consular
EIRLA,Sección  Consular
EGREC,Sección  Consular
EQATR,Sección  Consular
EVENE,Sección  Consular
