id_sede,nom_sede,codigo_pais
CALEG,Consulado  General  en  Porto  Alegre,BRA
CANTO,Consulado  en  Antofagasta,CHL
CAREN,Consulado  General  en  Punta  Arenas,CHL
CASUN,Consulado  General  en  Asunción,PRY
CATLA,Consulado  General  en  Atlanta,USA
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,ESP
CBEIJ,Sección  Consular  en  Beijing,CHN
CBELO,Consulado  en  Belo  Horizonte,BRA
CBONN,Consulado  en  Bonn,DEU
CCADI,Consulado  en  Cádiz,ESP
CCEST,Consulado  General  en  Ciudad  del  Este,PRY
CCHIC,Consulado  General  en  Chicago,USA
CCOCH,Consulado  en  Cochabamba,BOL
CCOLO,Consulado  en  Colonia,URY
CCONC,Consulado  en  Concepción,CHL
CCURI,Consulado  en  Curitiba,BRA
CENCA,Consulado  General  en  Encarnación,PRY
CFBEN,Consulado  en  Fray  Bentos,URY
CFDIG,Consulado  en  Foz  de  Iguazu,BRA
CFLOR,Consulado  en  Florianopolis,BRA
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,DEU
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,TUR
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,IND
CGPAZ,Consulado  General  en  La  Paz,BOL
CGTEL,Consulado  General  en  Tel  Aviv,ISR
CGUAN,Consulado  General  en  Guangzhou,CHN
CGUAY,Consulado  en  Guayaquil,ECU
CGVAN,Consulado  General  en  Vancouver,CAN
CHAMB,Consulado  General  en  Hamburgo,DEU
CHONG,Consulado  General  en  Hong  Kong,CHN
CHOUS,Consulado  General  en  Houston,USA
CJOHA,Consulado  General  en  Johannesburgo,ZAF
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,USA
CLIMA,Consulado  General  en  Lima,PER
CLOND,Consulado  General  en  Londres,GBR
CMADR,Consulado  General  en  Madrid,ESP
CMALD,Consulado  en  Maldonado,URY
CMALL,Consulado  en  Palma,ESP
CMDEO,Consulado  General  en  Montevideo,URY
CMEXI,Consulado  General  en  México,MEX
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,USA
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,ITA
CMREA,Consulado  General  en  Montreal,CAN
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,USA
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,BRA
CPAYS,Consulado  en  Paysandú,URY
CPCAR,Consulado  en  Playa  del  Carmen,MEX
CPMON,Consulado  en  Puerto  Montt,CHL
CRECI,Consulado  en  Recife,BRA
CRIOJ,Consulado  General  en  Rio  de  Janeiro,BRA
CROMA,Consulado  General  en  Roma,ITA
CSBAH,Consulado  en  San  Salvador  de  Bahía,BRA
CSCRS,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,BOL
